iter	Passed	Remaining
0	0	85
1	1	77
2	2	78
3	3	72
4	3	70
5	4	69
6	5	68
7	5	68
8	6	68
9	7	67
10	8	66
11	9	66
12	9	65
13	10	64
14	11	64
15	12	63
16	13	66
17	14	65
18	15	64
19	15	63
20	16	63
21	17	63
22	18	61
23	19	60
24	20	60
25	20	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	55
31	25	54
32	26	53
33	27	53
34	28	52
35	29	51
36	30	51
37	31	50
38	31	49
39	32	49
40	33	48
41	33	46
42	34	45
43	35	45
44	36	44
45	36	43
46	37	42
47	38	41
48	39	41
49	40	40
50	40	39
51	41	38
52	42	37
53	43	37
54	44	36
55	44	35
56	45	34
57	46	33
58	47	32
59	47	31
60	48	31
61	49	30
62	50	29
63	51	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	58	20
74	59	19
75	60	19
76	61	18
77	62	17
78	62	16
79	63	15
80	64	15
81	65	14
82	66	13
83	66	12
84	67	11
85	68	11
86	69	10
87	70	9
88	71	8
89	72	8
90	72	7
91	73	6
92	74	5
93	75	4
94	76	4
95	77	3
96	77	2
97	78	1
98	79	0
99	80	0
